name,team,battingStyle,playingRole,bowlingStyle,description
Michael Bracewell,New Zealand,Left hand Bat,Batting Allrounder,Right arm Offbreak,"A member of the Bracewell cricket dynasty, Michael made a late introduction to international cricket, at the age of 31, when he was handed his ODI cap in 2022, against Netherlands, more than ten years after he made his first-class and List A debuts. The innings that vaulted him to the front of the selection queue was a monstrous 141 off 65 balls, which took Wellington from a position of 43 for 5 to chasing down Central Districts' 227 with a ball remaining in a Super Smash T20 match in January that year."
Teja Nidamanuru,Netherlands,Right hand Bat,Allrounder,Right arm Offbreak,
Barry McCarthy,Ireland,Right hand Bat,Bowler,Right arm Fast medium,"Barry McCarthy is an Ireland seam bowler whose involvement with Durham owed much to a recommendation by their England allrounder, Ben Stokes, who faced him in the nets before a one-day international and advised his county to take a look. Durham did just that and McCarthy made his first-class debut in 2015. A maiden five-wicket haul for Durham against Lancashire in Chester-le-Street the following year added to the good impression he had built at Ireland Under-19 level and during a spell with the Australian grade side Randwick-Petersham. "
Mehran Khan,Oman,Right hand Bat,Batter,Right arm Medium fast,
Aryan Dutt,Netherlands,Right hand Bat,Bowler,Right arm Offbreak,
Dilpreet Bajwa,Canada,Right hand Bat,Allrounder,Right arm Offbreak,
Hazratullah Zazai,Afghanistan,Left hand Bat,Opening Batter,Slow Left arm Orthodox,Afghanistan's ascent up the global rankings from ICC Associate nation to Full Member and Test status has been largely propelled by a conveyor belt of fast bowling and mystery spin. But the country has struggled to unearth quality batting prospects at the same rate as their bowling unit. The emergence of the hard-hitting Hazratullah Zazai is a sign that this may change early in the country's Full Member era.
Safyaan Sharif,Scotland,Right hand Bat,Bowler,Right arm Medium fast,"Born in Huddersfield, Safyaan Sharif made his debut for Scotland at 20 after eye-catching performances for Dunfermline and Scotland U-19s, and took 4 for 27 against the Netherlands in his first ODI in 2011. With 14 wickets at 23.92 apiece, his fast-medium bowling played an important part in Scotland's success in the World Cup Qualifiers in New Zealand in 2014. "
George Munsey,Scotland,Left hand Bat,Opening Batter,Right arm Medium fast,"Known as the reverse-sweeping demon of the Associate world, George Munsey's path to the Scotland national team is as unorthodox as his trademark shot. Born and raised in Oxford, Munsey had dreams of becoming a professional golfer and it was a golf scholarship to the Loretto School, just outside Edinburgh, that brought him to Scotland at age 13. "
Tanzim Hasan Sakib,Bangladesh,Right hand Bat,Bowler,Right arm Fast medium,
Keshav Maharaj,South Africa,Right hand Bat,Bowler,Slow Left arm Orthodox,"A left-arm spinner from Northwood Boys High, the alma mater of Shaun Pollock, Keshav Maharaj emerged at a time when South Africa began to take spin seriously. For several seasons in the mid 2010s, spinners were among the leading wicket-takers in South Africa's first-class competition. Maharaj was among them in the 2014-15 and 2015-16 seasons and was rewarded with an international call-up the following summer."
Daryl Mitchell,New Zealand,Right hand Bat,Batting Allrounder,Right arm Medium,"Daryl Mitchell was called into New Zealand's Test team in late 2019 as a replacement for the injured Colin de Grandhomme. He impressed, making an assured 73 against England in his first innings and bowling with good control on a sluggish surface at his home ground, Hamilton. "
Charith Asalanka,Sri Lanka,Left hand Bat,Batting Allrounder,Right arm Offbreak,
David Wiese,Namibia,Right hand Bat,Allrounder,Right arm Medium fast,"David Wiese joined a marked outflow of South Africa players into county cricket in the 2016-17 season when, at 31, he signed a three-year deal with Sussex, joining his compatriot Stiaan van Zyl. Wiese had not played international cricket since March 2016, and turned down a call-up for a home T20I series against Sri Lanka in making his decision to go Kolpak. "
Brian Masaba,Uganda,Right hand Bat,Bowler,"Right arm Fast medium, Right arm Offbreak, Legbreak Googly",
Virat Kohli,India,Right hand Bat,Top order Batter,Right arm Medium,
Ish Sodhi,New Zealand,Right hand Bat,Bowler,Legbreak,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds."
Naseem Khushi,Oman,Right hand Bat,Wicketkeeper,,
Mitchell Santner,New Zealand,Left hand Bat,Bowling Allrounder,Slow Left arm Orthodox,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. "
Mahedi Hasan,Bangladesh,Right hand Bat,Allrounder,Right arm Offbreak,"By the time Mahedi Hasan earned his maiden ODI call-up in January 2021, he had already played 159 domestic matches for ten different teams in the first-class, List-A and T20 tournaments. He has now emerged as one of several contenders for the all-rounders' spots in Bangladesh's white-ball teams, having already played in three separate T20I series from 2018 to 2020. "
Will Jacks,England,Right hand Bat,Batting Allrounder,Right arm Offbreak,"It was a quirk of circumstance that Will Jacks' first standout performance as an England player was a six-wicket haul in a Test match rather than a characteristically dominant white-ball innings. Jacks became the first England debutant spinner since 1993 to claim a five-for on Test debut in 2022, setting up a famous win in Rawalpindi. Not only was it his maiden first-class five-for, he was not even meant to be in the side: he was a late change to the side before the toss with Ben Foakes ruled out through illness."
Ali Khan,U.S.A,Right hand Bat,Bowler,Right arm Fast medium,"Few US players have had a more unusual path to international cricket than Ali Khan. Born and raised in Pakistan, he moved to USA with his parents at the age of 18, settling in Ohio. He was a regular in various private T20 cricket tournaments around the USA, but it wasn't until ICC Americas organised an open trial at Indianapolis in September 2015 that he gained wider attention on the national scene."
Imad Wasim,Pakistan,Left hand Bat,Allrounder,Slow Left arm Orthodox,"Imad Wasim had been set to study medicine but the offer to play for the Pakistan Under-19 made him change his mind and since then there has been no looking back. Like many aspiring players from his country, he wanted to emulate Wasim Akram but he didn't have the pace his coaches were looking for. Still, the switch to left-arm spin has worked for him. A capable middle-order batsman as well, he was part of the Pakistan side that won the Youth World Cup in 2006, before captaining them in the next edition. "
Rashid Khan,Afghanistan,Right hand Bat,Bowling Allrounder,Legbreak Googly,
Obed McCoy,West Indies,Left hand Bat,Bowler,Left arm Fast medium,
Finn Allen,New Zealand,Right hand Bat,Top order Batter,,
Shayan Jahangir,U.S.A,Right hand Bat,Batter,Right arm Medium fast,
Andy Balbirnie,Ireland,Right hand Bat,Batter,Right arm Offbreak,"Already one of Ireland's star batters at No. 3, Andrew Balbirnie flourished with the bat even more after he was made captain across formats late in 2019. Although not a power-hitter, Balbirnie is fluent, keeps the score ticking, and is excellent against spin bowling - his hard sweep is a signature shot."
Assad Vala(c),Papua New Guinea,Left hand Bat,Batter,Right arm Offbreak,
Simon Ssesazi,Uganda,Left hand Bat,Wicketkeeper Batter,Right arm Slow,
Matthew Wade,Australia,Left hand Bat,Wicketkeeper Batter,Right arm Medium,"It has been a career of reinvention for Matthew Wade, who went from Test wicketkeeper to specialist middle-order batter to T20I World Cup-winning wicketkeeper-finisher, via a prolific run in domestic cricket when it appeared his international days were over."
Brandon McMullen,Scotland,Right hand Bat,Batting Allrounder,Right arm Medium,
Trent Boult,New Zealand,Right hand Bat,Bowler,Left arm Fast medium,"Rated as one half of the best new-ball pair in New Zealand history by Sir Richard Hadlee, Trent Boult is a left-arm quick who presents a significant threat to batsmen around the world with an ability to move the ball both ways even in unresponsive conditions."
Alpesh Ramjani,Uganda,Left hand Bat,Allrounder,Slow Left arm Orthodox,
Anrich Nortje,South Africa,Right hand Bat,Bowler,Right arm Fast,
Zane Green,Namibia,Left hand Bat,Wicketkeeper Batter,,
Fayyaz Butt,Oman,Right hand Bat,Bowler,Right arm Medium fast,"A part of Pakistan's pace arsenal in the Under-19 World Cup in New Zealand, Fayyaz Butt compares his style of play to Brett Lee and, like many aspiring professional cricketers in Pakistan, wants to emulate Imran Khan.
Cricinfo Staff, January 2010. "
Abbas Afridi,Pakistan,Right hand Bat,Bowler,Right arm Medium fast,
Usman Khan,Pakistan,Right hand Bat,Top order Batter,Right arm Offbreak,
Shakeel Ahmed,Oman,Left hand Bat,Bowler,Slow Left arm Orthodox,
Wanindu Hasaranga,Sri Lanka,Right hand Bat,Allrounder,Legbreak,"A bruising lower-middle order batsman, and an aggressive legbreak bowler, Wanidu Hasaranga graduated from a strong Richmond College outfit, had a fine run in Sri Lanka's 2015 and 2016 Under-19 teams, and has made a promising start to his domestic cricket career."
Shaheen Shah Afridi,Pakistan,Left hand Bat,Bowler,Left arm Fast,"A baby face perched on a two-metre body, Shaheen Afridi's story is trademark Pakistani. An 18-year old already comfortable in the green shirt of the national side, he's been on the radar of the national selectors for almost three years. In a more intimate circle, he was destined for great achievements well before his teenage years, with an international cricketer for an elder brother."
Aaron Jones,U.S.A,Right hand Bat,Top order Batter,Legbreak Googly,"Aaron Jones grew up playing alongside Shai Hope and Jason Holder and against Nicholas Pooran and Rovman Powell. He made his List-A debut for Barbados in January 2016 before representing them in first-class cricket the following year. By 2018, though, he had switched to playing for USA. Jones, who was born in Queens in New York, quickly became a mainstay in the USA team. His maiden List-A century against Namibia in the WCL Division 2 in 2019 helped USA earn the side ODI status during that competition."
JJ Smit,Namibia,Right hand Bat,Bowling Allrounder,Left arm Medium fast,
Hiri Hiri,Papua New Guinea,Right hand Bat,Middle order Batter,Right arm Offbreak,
Tim Pringle,Netherlands,Right hand Bat,Allrounder,Slow Left arm Orthodox,
Devon Conway,New Zealand,Left hand Bat,Wicketkeeper Batter,Right arm Medium,"Eight years into his professional career, Devon Conway scored his maiden first-class double hundred for Gauteng in a three-day match in South Africa in 2017. Four years later he'd score another double, but this time for New Zealand on his Test debut, becoming only the second - but also the oldest - player to do so in the side, where he quickly established himself as an attacking but composed top-order batter with the ability to shift gears quickly to adapt to match situations. "
Azmatullah Omarzai,Afghanistan,Right hand Bat,Allrounder,Right arm Medium fast,
Nikolaas Davin,Namibia,Right hand Bat,Batter,Legbreak,
Kenneth Waiswa,Uganda,Right hand Bat,Allrounder,Right arm Medium,
Rohit Paudel,Nepal,Right hand Bat,Batting Allrounder,Right arm Offbreak,
Tim Southee,New Zealand,Right hand Bat,Bowler,Right arm Medium fast,"Tim Southee, a right-arm swing bowler, burst upon the international scene in great style. He was still only 19, with only one T20I cap behind him, and fresh from a Player-of-the-Tournament performance at the 2008 Under-19 World Cup when he was handed a Test debut against England in Napier. Southee responded with 5 for 55 before smashing 77 off 40 balls in the second innings with nine sixes."
Kagiso Rabada,South Africa,Left hand Bat,Bowler,Right arm Fast,
Kashyap Prajapati,Oman,Right hand Bat,Top order Batter,Right arm Offbreak,
Sompal Kami,Nepal,Right hand Bat,Bowling Allrounder,Right arm Fast medium,
Bas de Leede,Netherlands,Right hand Bat,Batting Allrounder,Right arm Fast medium,
Harry Brook,England,Right hand Bat,Batter,Right arm Medium,"In the winter of 2022-23, Harry Brook announced himself as one of the world's most exciting young players with a staggering run of form across formats, most particularly in England's rebooted Test team. After making his debut against South Africa in September 2022, Brook travelled to Pakistan and New Zealand with Ben Stokes' team, where he peeled off consecutive scores of 153, 87, 9, 111, 89, 54, and 186 to take his overall tally to 809 runs in nine innings, at an extraordinary strike-rate of 98.77. No player in Test history had started with a bigger bang - Vinod Kambli had 796 runs after his own ninth innings - and not even Brook's anticlimactic tenth innings (run out without facing in England's thrilling one-run defeat at Wellington) could take the gloss off his achievement. "
Shadab Khan,Pakistan,Right hand Bat,Allrounder,Legbreak,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career."
Mark Chapman,New Zealand,Left hand Bat,Allrounder,Slow Left arm Orthodox,"Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff"
Mitchell Starc,Australia,Left hand Bat,Bowler,Left arm Fast,
Paul van Meekeren,Netherlands,Right hand Bat,Bowler,Right arm Fast medium,"Paul van Meekeren drew attention to himself during the World Twenty20 qualifiers in 2016 when he produced a spell of 4 for 11 against Ireland. A trial match at Taunton Vale, plus the success of his Dutch compatriot Timm van der Gugten at Glamorgan, was enough for Somerset to offer him a short-term deal midway through the 21016 season which they extended to a two-year deal until the end of the 2018 season. He made his Somerset first-class debut against the Pakistan tourists and followed up with T20 and List-A debuts for the Club in the same season, catching the eye in a NatWest T20 Blast fixture at Cardiff where he bowled with genuine pace. The following season, in his sole Championship appearance, he took four wickets on debut against Essex at Chelmsford.

ESPNcricinfo staff"
Rachin Ravindra,New Zealand,Left hand Bat,Batting Allrounder,Slow Left arm Orthodox,
Logan van Beek,Netherlands,Right hand Bat,Bowler,Right arm Medium fast,"Allrounder Logan van Beek came to global attention when he single-handedly ensured West Indies would not make it to the ODI World Cup for the first time in their history. In the Qualifier tournament in Zimbabwe in June 2022, he first lashed 28 off 14 balls to tie the scores in a chase of 374, then smacked three sixes and as many fours off Jason Holder in the Super Over, and sealed the deal with two wickets when West Indies batted."
Mohammad Rizwan,Pakistan,Right hand Bat,Wicketkeeper Batter,Right arm Medium,"For several years, it appeared Mohammad Rizwan's international career would only happen in a parallel universe, racking up domestic runs even as he struggled to get a game in the national side. But for someone who played an international for the first time in two years in January 2019, Mohammad Rizwan was spoken of remarkably frequently. Most often, he was used as a stick to threaten current first-choice Pakistan wicketkeeper and captain Sarfaraz Ahmed, but the Peshawar native had qualities of his own that suggested he might have been unfortunate not to play for Pakistan more often. "
Ibrahim Zadran,Afghanistan,Right hand Bat,Opening Batter,Right arm Medium fast,"Top-order batter Ibrahim Zadran is among Afghanistan's most consistent performers, and young enough to have made his Test debut (in the team's third ever match) before he played a white-ball international. He made 87 in that match in Chattogram, a big, historic win over Bangladesh. "
Najibullah Zadran,Afghanistan,Left hand Bat,Middle order Batter,Right arm Offbreak,"Najibullah Zadran packs a punch with his bellicose left-hand batting, despite his slight frame. He has followed the same tried and tested route to the national side as many of his generation that came after the initial Afghan cricketing pioneers, with age-group cricket preparing him for the big stage. His ODI debut, against Ireland in Dublin in 2012, was possibly a little premature but Zadran's batting turned a corner in 2014 and he started to look more at home. In July, his second-innings 99 helped Afghanistan beat a strong Zimbabwe A side in an unofficial Test, and in November his unbeaten 32-ball 60 helped set up a 54-run win over Pakistan A in a Twenty match. He started 2015 well with a maiden ODI fifty, a boundary-laden 83 against Ireland, and cruised into Afghanistan's World Cup squad.Liam Brickhill"
James Neesham,New Zealand,Left hand Bat,Batting Allrounder,Right arm Medium fast,"Allrounder, and Twitter star, Jimmy Neesham went from the brink of retirement from cricket to almost delivering New Zealand the 2019 World Cup. In the tournament he was outstanding with bat and ball then in the final against England claimed three wickets and produced the final-ball run out to tie the scores after 50 overs. He was entrusted with the bat in the Super Over and scored 13 off 5 balls including a huge six off Jofra Archer. He was at the non-striker's end for the last ball when Martin Guptill was run out coming back for a second run that would have won New Zealand the World Cup. "
Fazalhaq Farooqi,Afghanistan,Right hand Bat,Bowler,Left arm Fast medium,
Glenn Phillips,New Zealand,Right hand Bat,Allrounder,Right arm Offbreak,"Glenn Phillips is a compact, muscular hitter, known for playing outrageous shots, like the reverse pull. Born in South Africa, Phillips moved to New Zealand with his family at the age of five and has come through the cricket set-up in Auckland. He is a multi-dimensional player, who bats, bowls fastish offspin, fields superbly inside the ring and in the outfield, and keeps part-time as well."
Corey Anderson,U.S.A,Left hand Bat,Batting Allrounder,Left arm Medium fast,"Corey Anderson had always been known for his powerful striking, but he took it to a new level on New Year's Day 2014 when he set what was then the world record for the fastest ODI hundred with a 36-ball blitzkrieg against West Indies in Queenstown. It came at a time, a few months after he scored a century in his second Test, that Anderson was suggesting he was ready to fulfill the potential spotted in him as a teenager."
Mujeeb Ur Rahman,Afghanistan,Right hand Bat,Bowler,Right arm Offbreak,"Offspinner Mujeeb ur Rahman has followed in the footsteps of his superstar compatriot Rashid Khan, mixing up offbreaks with legspin and ripping googlies and making a splash in T20 leagues around the world."
Romario Shepherd,West Indies,Right hand Bat,Bowling Allrounder,Right arm Fast medium,
Bilal Hassan,Uganda,Right hand Bat,Bowler,Right arm Medium fast,
Max O'Dowd,Netherlands,Right hand Bat,Opening Batter,Right arm Offbreak,
Mohammad Nadeem,Oman,Right hand Bat,Allrounder,Right arm Medium fast,"Debuting as a 31-year-old in 2014 for his adopted country of Oman, Mohammad Nadeem took a while to get going, making his first half-century in international cricket shortly before his 36th birthday, against Hong Kong at the 2018 Asia Cup Qualifier in Malaysia. "
Lorcan Tucker,Ireland,Right hand Bat,Wicketkeeper Batter,,"Wicketkeeper-batter Lorcan Tucker, who was among Ireland's first batch of contracted cricketers, made his international debut in 2016, before he played his first first-class game the following year.  His father and brothers also played the game; Tucker and his younger brother Fiachra both figured in the 2016 Ireland Under-19 World Cup squad."
Azam Khan,Pakistan,Right hand Bat,Wicketkeeper Batter,,
Navneet Dhaliwal,Canada,Right hand Bat,Middle order Batter,Right arm Medium fast,"Nearly ten years after making his List-A debut for Canada, Navneet Dhaliwal earned the honour of becoming his team's first half-centurion at the T20 World Cup in 2024. He scored 44-ball 61 in the tournament opener against USA but it was not enough to win the game. He has also led Canada in T20I cricket."
Jaker Ali,Bangladesh,Right hand Bat,Batter,,
Mohammad Amir,Pakistan,Left hand Bat,Bowler,Left arm Fast medium,"Mohammad Amir, a left-arm pace bowler, reveres Wasim Akram. Over 2007 and 2008, he also emerged, still improbably young, as a hot pace prospect. Even before he went to England on an U-19 tour, he had been picked out as a special talent by Akram himself at a pace camp he oversaw in Lahore in May 2007. By 2010, he had become the hottest pace bowling prospect around the world - but within months his career was in ruins following charges of spot-fixing. "
Henry Ssenyondo,Uganda,Right hand Bat,Bowler,Slow Left arm Orthodox,
JP Kotze,Namibia,Left hand Bat,Batter,,
Gulbadin Naib,Afghanistan,Right hand Bat,Batting Allrounder,Right arm Medium fast,"Gulbadin Naib's first love in sport was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age-group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Gulsan Jha,Nepal,Left hand Bat,Bowler,Right arm Medium,
Tanzid Hasan,Bangladesh,Left hand Bat,Opening Batter,,
Lega Siaka,Papua New Guinea,Right hand Bat,Opening Batter,"Right arm Fast medium, Legbreak","
Batter Lega Siaka was part of the side that played Papua New Guinea's very first ODI, after they got status in the format in 2014 following their fourth-place finish in the World Cup Qualifier that year. In the next game, Siaka anchored a chase of 262 with a hundred, putting on a partnership of 65 with former England keeper Geraint Jones, who played for PNG in the 2010s."
Ben Shikongo,Namibia,Right hand Bat,Bowler,Right arm Medium fast,
Rashid Khan(c),Afghanistan,Right hand Bat,Bowling Allrounder,Legbreak Googly,
Nathan Ellis,Australia,Right hand Bat,Bowler,Right arm Fast medium,"Nathan Ellis has developed into one of Australia's leading T20 bowlers in a relatively short period of time. He is a short, skiddy quick with an excellent yorker and superb change of pace."
Sagar Dhakal,Nepal,Right hand Bat,Bowler,Slow Left arm Orthodox,
Towhid Hridoy,Bangladesh,Right hand Bat,Top order Batter,Right arm Offbreak,
Gerhard Erasmus,Namibia,Right hand Bat,Allrounder,Right arm Offbreak,
Reeza Hendricks,South Africa,Right hand Bat,Opening Batter,Right arm Offbreak,"Reeza Hendricks has fashioned a reputation as a destructive T20 opener, with crisp shot-making, particularly through the covers, and one adept at pacing a knock and scoring quickly at either end of an innings. "
Tony Ura,Papua New Guinea,Right hand Bat,Opening Batter,,"Tony Ura is a right-hand batsman and wicketkeeper who began playing cricket at the age of 12. He had guidance from his father, Pala, and brother, Vali, who were both prominent cricketers and broke into the Papua New Guinea's Under-15 and U-19 sides. Tony helped PNG qualify for the U-19 World Cup in 2008 by scoring a rapid 74 against Vanuatu in the qualifiers, and smashed 76 in 55 balls against Bermuda to hand his team a famous win in the competition. He prepared for the Under-19 World Cup in New Zealand in 2010 by playing club cricket in Melbourne.Cricinfo staff January 2010"
Karim Janat,Afghanistan,Right hand Bat,Bowling Allrounder,Right arm Medium,
Nikhil Dutta,Canada,Right hand Bat,Bowler,Right arm Offbreak,
